,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50,bioactivity_class
61,CHEMBL191457,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,376.8430000000001,5.880100000000004,2.0,2.0,5.42021640338319,intermediate
62,CHEMBL373022,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccccn2)cc1,377.8310000000001,5.275100000000004,2.0,3.0,5.468521082957745,intermediate
63,CHEMBL370877,COc1ccc(NC(=O)Nc2ccc(C(=O)/C=C/c3ccccn3)cc2)cc1,373.41200000000003,4.630300000000003,2.0,4.0,4.903089986991944,inactive
64,CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,426.5620000000001,0.01507000000000519,6.0,5.0,8.236572006437063,active
65,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,357.4110000000002,-1.460899999999997,5.0,5.0,7.236572006437063,active
66,CHEMBL381093,O=S(=O)(NCc1ccco1)c1ccc2c(c1)Cc1cc(S(=O)(=O)NCc3ccco3)ccc1-2,484.55500000000023,3.400800000000002,2.0,6.0,5.853871964321762,intermediate
67,CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,357.4110000000002,-1.460899999999997,5.0,5.0,7.823908740944319,active
68,CHEMBL204973,Cc1csc(Cn2nc(CC(=O)N/N=C/c3ccccc3)c3ccccc3c2=O)n1,417.49400000000014,2.9025200000000018,1.0,7.0,4.265200170411153,inactive
69,CHEMBL204850,O=C(CSc1nnc(O)n1Cc1ccco1)c1ccc2c(c1)OCCO2,373.3900000000002,2.371200000000001,1.0,9.0,4.281498311132726,inactive
70,CHEMBL204452,N=C(CS(=O)(=O)Cc1ccc(F)cc1)NOC(=O)c1cccs1,356.4000000000001,2.1408700000000005,2.0,6.0,4.301029995663981,inactive
71,CHEMBL380140,Cc1nc(C)nc(N(CCS(=O)(=O)c2ccccc2)CCS(=O)(=O)c2ccccc2)n1,460.5810000000002,2.2426400000000006,0.0,8.0,4.87942606879415,inactive
72,CHEMBL383231,COC(=O)c1sccc1NC(=O)CC(=O)Nc1ccsc1C(=O)OC,382.41900000000015,2.3501000000000003,2.0,8.0,4.982966660701219,inactive
73,CHEMBL203856,Cn1c(O)c(/N=N/C(=O)CCCCC(=O)/N=N/c2c(O)n(C)c3ccccc23)c2ccccc21,460.49400000000014,5.562400000000005,2.0,8.0,5.187086643357144,intermediate
74,CHEMBL203823,CCCc1cc(O)nc(SCC(=O)NCCSCc2ccco2)n1,367.49600000000004,2.8694000000000015,2.0,7.0,5.337242168318426,intermediate
75,CHEMBL204344,CCCS(=O)(=O)c1cscc1NC(=O)CSCCS(=O)(=O)c1ccc(Cl)cc1,482.07000000000016,3.730800000000003,1.0,7.0,5.468521082957745,intermediate
76,CHEMBL203802,Cc1ccc(S(=O)(=O)N(C)C)cc1NS(=O)(=O)c1ccc(-c2ccon2)s1,427.52900000000017,2.762620000000001,1.0,7.0,5.5376020021010435,intermediate
77,CHEMBL203801,Cc1cccc(NC(=O)Cn2c(O)c(/N=N/C(=O)C(=O)NCc3ccccc3)c3ccccc32)c1,469.5010000000002,4.220720000000003,3.0,6.0,5.795880017344075,intermediate
78,CHEMBL382027,O=S(=O)(Cc1ccc(Cl)cc1)Cc1nc(-c2ccsc2)no1,354.84000000000003,3.5665000000000022,0.0,6.0,4.320572103387881,inactive
79,CHEMBL379228,Cc1ccc(S(=O)(=O)NC(=O)NCC2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,451.57000000000016,2.08382,2.0,5.0,4.721246399047171,inactive
80,CHEMBL204491,O=C(CCSSCCC(=O)NCc1ccccc1)NCc1ccccc1,388.55800000000005,3.780800000000003,2.0,4.0,4.815308569182401,inactive
81,CHEMBL205056,COC(=O)c1ccsc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,457.9610000000001,2.1330999999999998,1.0,7.0,4.844663962534939,inactive
82,CHEMBL440764,CCOC(=O)c1c2cc(OCC(=O)NCc3ccco3)ccc2n2ccccc12,392.41100000000006,3.557400000000002,1.0,6.0,4.860120913598763,inactive
83,CHEMBL204035,O=C(Cn1nnc(-c2ccccc2)n1)NN/C=N\OCc1c(F)cccc1Cl,403.8050000000002,1.9134999999999998,2.0,7.0,4.966576244513051,inactive
84,CHEMBL203649,O=S(=O)(c1ccc(-c2ccc(S(=O)(=O)N3CCOCC3)s2)s1)N1CCOCC1,464.61200000000036,1.5184000000000002,0.0,8.0,5.267606240177032,intermediate
85,CHEMBL377557,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccccc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,542.5480000000003,2.238,3.0,8.0,4.666754301038037,inactive
86,CHEMBL423112,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,382.4600000000001,2.8638000000000012,2.0,4.0,5.301029995663981,intermediate
87,CHEMBL210211,O=C(CN1C(=O)[C@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,644.9900000000001,3.910200000000003,3.0,8.0,4.987584625237567,inactive
88,CHEMBL378223,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,644.9900000000001,3.910200000000003,3.0,8.0,5.061480274823508,intermediate
89,CHEMBL209147,Cc1cc(Cl)ccc1NC(=O)OC[C@H]1N=C(c2ccccc2)c2ccccc2N(CC(=O)N[C@H]2CC(=O)OC2O)C1=O,591.0200000000003,3.199820000000002,3.0,8.0,5.0835460514500745,intermediate
90,CHEMBL437308,O=C(CN1C(=O)[C@@H](COC(=O)Nc2c(F)cc(F)cc2Br)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,657.4240000000001,3.278700000000001,3.0,8.0,4.717831221695358,inactive
91,CHEMBL382121,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(F)cc2F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,578.5280000000002,2.516200000000001,3.0,8.0,4.869344650977969,inactive
92,CHEMBL378475,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(F)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,560.5380000000002,2.377100000000001,3.0,8.0,4.786747947803604,inactive
93,CHEMBL207102,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,576.9930000000003,2.8914000000000013,3.0,8.0,4.822752163744377,inactive
94,CHEMBL207117,COc1ccc(NC(=O)OC[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)N[C@H]3CC(=O)OC3O)C2=O)cc1,572.5740000000003,2.246599999999999,3.0,9.0,5.056011124926228,intermediate
95,CHEMBL377886,O=C(CN1C(=O)[C@@H](COC(=O)Nc2cccc3ccccc23)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,592.6080000000002,3.3912000000000018,3.0,8.0,4.95116991347165,inactive
96,CHEMBL379633,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1/CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,582.7670000000003,3.680100000000004,2.0,5.0,4.627087997029894,inactive
97,CHEMBL211516,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,582.7670000000003,3.680100000000004,2.0,5.0,4.863279432843593,inactive
98,CHEMBL379148,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,568.7400000000004,3.6845000000000026,2.0,5.0,4.503070351926785,inactive
99,CHEMBL213961,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,568.7400000000004,3.2900000000000036,2.0,5.0,4.315154638355588,inactive
100,CHEMBL213827,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,531.6780000000003,3.975400000000003,2.0,4.0,4.576754126063192,inactive
101,CHEMBL224801,O=C(O)c1ccccc1N/N=C/c1ccc(/C=N/Nc2ccccc2C(=O)O)cc1,402.41000000000014,3.9750000000000014,4.0,6.0,6.0,active
102,CHEMBL222709,O=C(Nc1cccc(O)c1)c1cccc(S(=O)(=O)Nc2cccc(O)c2)c1,384.41300000000007,3.150900000000001,4.0,5.0,4.301029995663981,inactive
103,CHEMBL221471,OC[C@@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,365.3970000000001,2.1097,5.0,9.0,4.301029995663981,inactive
104,CHEMBL222708,O=C(CSc1ccc2ccccc2n1)N/N=C/c1ccc(O)cc1O,353.40300000000013,2.888400000000001,3.0,6.0,4.1979107421182675,inactive
105,CHEMBL222707,CCCc1cc(O)nc(SCC(=O)Nc2ccccc2)n1,303.387,2.865500000000001,2.0,5.0,4.2225731776106885,inactive
106,CHEMBL222706,OC[C@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(N2CCCCC2)n1,357.4180000000003,1.3563999999999998,4.0,9.0,4.262807357295262,inactive
107,CHEMBL376232,CCOP(=O)(CC(=O)NNC(=O)Nc1cccc2ccccc12)OCC,379.3530000000002,3.2586000000000013,3.0,5.0,4.272458742971444,inactive
108,CHEMBL224916,O=C(Cc1nnc(NC(=O)c2ccccc2)s1)N/N=C\c1ccc(O)c(O)c1,397.4160000000001,1.8943999999999999,4.0,8.0,4.507239610973162,inactive
109,CHEMBL224915,O=C(Cn1nnc(-c2ccccc2)n1)N/N=C1\C(=O)Nc2ccccc21,347.3380000000001,0.8126999999999993,2.0,7.0,4.5638373529592435,inactive
110,CHEMBL222270,O=C(CNC(=O)[C@@H]1COc2ccccc2O1)N/N=C/c1cccs1,345.38000000000005,1.1543999999999996,2.0,6.0,4.575118363368933,inactive
111,CHEMBL373909,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,269.32900000000006,3.654300000000001,2.0,5.0,4.647817481888637,inactive
112,CHEMBL374367,Oc1ccc(/C=N/CC/N=C/c2ccc(O)cc2O)c(O)c1,300.314,2.0470000000000006,4.0,6.0,4.681936665037238,inactive
113,CHEMBL374510,N#CCC(=O)N/N=C\c1ccc(OCC(=O)Nc2ccc(F)cc2)cc1,354.341,2.2069799999999997,2.0,5.0,5.2441251443275085,intermediate
114,CHEMBL426564,O=C(CN1C(=O)/C(=N\NC(=O)c2ccncc2)c2ccccc21)Nc1ccccc1,399.4100000000001,2.2009999999999996,2.0,5.0,4.388276691992658,inactive
115,CHEMBL224858,CCCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,382.5070000000001,1.8858999999999997,0.0,4.0,4.906578314837765,inactive
116,CHEMBL224803,O=C(CSc1nnnn1-c1ccccc1)Nc1ccc(-n2cnnn2)cc1,379.4090000000001,1.3687999999999998,1.0,10.0,5.1249387366083,intermediate
117,CHEMBL221833,Cc1cccc(NC(=O)CCC(=O)N/N=C/c2cc(Cl)ccc2O)c1,359.8130000000001,3.223020000000001,3.0,4.0,5.1249387366083,intermediate
118,CHEMBL438659,O=C(N/N=C/c1ccccc1O)c1cccc(C(=O)N/N=C/c2ccccc2O)n1,403.398,2.0206000000000004,4.0,7.0,5.154901959985743,intermediate
119,CHEMBL221991,O=C(NCc1ccc(/C=c2/sc3n(c2=O)CCN=3)o1)C(=O)Nc1ccccc1,396.42800000000005,0.21969999999999984,2.0,7.0,5.207608310501746,intermediate
120,CHEMBL436500,COC(=O)c1ccccc1NC(=O)COC(=O)CSc1nc(C)cc(C)n1,389.43300000000005,2.15404,1.0,8.0,5.207608310501746,intermediate
121,CHEMBL222325,Oc1cccc(/C=N\c2cccc3c(/N=C/c4cccc(O)c4O)cccc23)c1O,398.4180000000001,5.1634000000000055,4.0,6.0,5.337242168318426,intermediate
122,CHEMBL222322,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,372.4020000000001,2.509520000000001,2.0,6.0,5.4089353929735005,intermediate
123,CHEMBL222871,O=C(N/N=C/c1ccc(/C=N/NC(=O)c2ccccc2O)cc1)c1ccccc1O,402.4100000000001,2.6256000000000017,4.0,6.0,5.657577319177793,intermediate
124,CHEMBL222870,Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(O)cc3O)c(Cl)c2)c(O)c1,382.8030000000001,4.663600000000005,4.0,6.0,5.6777807052660805,intermediate
