molecule_chembl_id,canonical_smiles,standard_value
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,98.0
CHEMBL1689606,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2c(Cl)cccc21,42100.0
CHEMBL1689610,CC(C)CCNC(=O)[C@H](Cc1ccccc1)NC=C1C(=O)Nc2ccc(Cl)cc21,43300.0
CHEMBL1689611,CC(C)CCNC(=O)[C@H](CCc1ccccc1)NC=C1C(=O)Nc2c(Cl)cccc21,44000.0
CHEMBL1689604,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2ccc(Cl)cc21,44100.0
CHEMBL1689605,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2cc(Cl)ccc21,48500.0
CHEMBL1689609,CC(C)CCNC(=O)[C@H](CCc1ccccc1)NC=C1C(=O)Nc2ccccc21,49900.0
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,111.7
CHEMBL1689595,CN(C)C=C1C(=O)Nc2ccccc21,50000.0
CHEMBL1689596,CN(C)C=C1C(=O)Nc2ccc(Cl)cc21,50000.0
CHEMBL1689597,CN(C)C=C1C(=O)Nc2cc(Cl)ccc21,50000.0
CHEMBL1689598,CN(C)C=C1C(=O)Nc2c(Cl)cccc21,50000.0
CHEMBL1689599,CN(C)C=C1C(=O)N(C)c2ccccc21,50000.0
CHEMBL1689600,O=C1Nc2ccccc2C1=CSCc1ccccc1,50000.0
CHEMBL1689601,O=C1Nc2ccccc2C1=CNc1ccccc1,50000.0
CHEMBL1689594,CCOC(=O)CNC=C1C(=O)Nc2ccccc21,50000.0
CHEMBL1689602,CCOC(=O)[C@H](Cc1ccccc1)NC=C1C(=O)Nc2ccccc21,50000.0
CHEMBL1689603,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)Nc2ccccc21,50000.0
CHEMBL1689607,CC(C)CCNC(=O)[C@H](CC(C)C)NC=C1C(=O)N(C)c2ccccc21,50000.0
CHEMBL1689608,CC(C)CCNC(=O)CNC=C1C(=O)Nc2ccccc21,50000.0
CHEMBL1687962,O=C1Nc2ccccc2C1=CNCCCNc1ccnc2cc(Cl)ccc12,50000.0
CHEMBL1689612,O=C1Nc2ccc(Cl)cc2C1=CNCCCNc1ccnc2cc(Cl)ccc12,50000.0
CHEMBL1689613,O=C1Nc2cc(Cl)ccc2C1=CNCCCNc1ccnc2cc(Cl)ccc12,50000.0
CHEMBL1689614,O=C1Nc2c(Cl)cccc2C1=CNCCCNc1ccnc2cc(Cl)ccc12,50000.0
CHEMBL1689615,CN1C(=O)C(=CNCCCNc2ccnc3cc(Cl)ccc23)c2ccccc21,50000.0
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,20.0
CHEMBL2235041,Cc1ccc2nc(C)cc(N/N=C/c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)c2c1,780.0
CHEMBL2235040,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccc(C)c(C)c2n1,840.0
CHEMBL2235039,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccc(Cl)cc2n1,170.0
CHEMBL2235038,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2cc(Br)ccc2n1,260.0
CHEMBL2235037,COc1ccc2nc(C)cc(N/N=C/c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)c2c1,290.0
CHEMBL2235036,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)c2ccccc2n1,890.0
